TIMESTAMP|TRAN_CODE|CARD_NUMBER|MCC|AMOUNT|YEAR_Y|MONTH_M|DATE_D|HOUR_H|MINUTES_M|SECONDS_S|HOTLISTED_CARD|MAOIST_CITY|WHITELISTED_IP|FRAUD
2020-06-09 23:00:00|01|123456789|6011|0|2020|06|09|23|00|00|0|0|0|1
2020-06-10 00:00:00|01|123456789|6011|0|2020|06|10|00|00|00|0|0|0|1
2020-06-09 00:30:00|01|123456789|6011|0|2020|06|09|00|30|00|0|0|0|1
2020-06-09 01:00:00|01|123456789|6011|0|2020|06|09|01|00|00|0|0|0|1
2020-06-15 23:00:00|01|123456789|6011|0|2020|06|15|23|00|00|0|0|0|0
2020-06-20 23:00:00|01|123456789|6011|0|2020|06|20|23|00|00|0|0|0|0
2020-06-09 00:00:00|01|4567899876|6011|2000|2020|06|09|00|00|00|0|0|0|1
2020-06-09 00:14:50|01|4567899876|6011|10000|2020|06|09|00|14|50|0|0|0|1
2020-06-09 00:15:50|01|4567899876|6011|10000|2020|06|09|00|15|50|0|0|0|1
2020-06-10 00:00:00|01|4567899876|5763|5000|2020|06|10|00|00|00|0|0|0|0
2020-06-10 00:20:00|01|4567899876|5763|5000|2020|06|10|00|20|00|0|0|0|0
2020-06-10 00:25:00|01|4567899876|5763|10000|2020|06|10|00|25|00|0|0|0|0
2020-06-11 01:00:00|01|4567899876|5763|5000|2020|06|11|01|00|00|0|0|0|0
2020-06-11 01:20:00|01|4567899876|5763|5000|2020|06|11|01|20|00|0|0|0|0
2020-06-11 01:25:00|01|4567899876|5763|10000|2020|06|11|01|25|00|0|0|0|0
2020-06-07 13:00:00|01|7778889995|6011|100|2020|06|07|13|00|00|0|0|0|1
2020-06-07 13:01:00|01|7778889995|6011|100|2020|06|07|13|01|00|0|0|0|1
2020-06-07 13:02:00|01|7778889995|6011|100|2020|06|07|13|02|00|0|0|0|1
2020-06-07 13:03:00|01|7778889995|6011|100|2020|06|07|13|03|00|0|0|0|1
2020-06-07 13:04:00|01|7778889995|6011|100|2020|06|07|13|04|00|0|0|0|1
2020-06-08 13:00:00|01|7778889995|6011|100|2020|06|08|13|00|00|0|0|0|0
2020-06-08 14:01:00|01|7778889995|6011|100|2020|06|08|14|01|00|0|0|0|0
2020-06-08 15:02:00|01|7778889995|6011|100|2020|06|08|15|02|00|0|0|0|0
2020-06-08 16:03:00|01|7778889995|6011|100|2020|06|08|16|03|00|0|0|0|0
2020-06-08 17:04:00|01|7778889995|6011|100|2020|06|08|17|04|00|0|0|0|0
2020-05-03 22:00:00|40|6664123321|6011|10000|2020|05|03|22|00|00|0|0|0|1
